FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS_x,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_y,Zip,Num_Empl,State,mactID
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2014,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,832.8042576872732,gallons,114.9269875608437,0.0131195191279502,838,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2014,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,832.8042576872732,gallons,114.9269875608437,0.0131195191279502,838,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2018,PB - No. 4,PCT (Pulverized coal  tangentially-fired),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),535.0,mmBtu/hr,,,0.0,gallons,0,0,856,Blue Ridge Paper,G11040,1,535.0,8350,Coal,400,322,28716,>1000,NC,2080
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2018,PB - Riley Bark,S (Stoker Boiler),Used Oil,Tier 1 (Equation C-1),380.0,mmBtu/hr,,,0.0,gallons,0,0,2923,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2017,PB - Riley Bark,S (Stoker Boiler),Used Oil,Tier 1 (Equation C-1),380.0,mmBtu/hr,,,0.0,gallons,0,0,2924,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2017,PB - Riley Bark,S (Stoker Boiler),Bituminous,Tier 3 (Equation C-3  solid fuel),380.0,mmBtu/hr,,,,,na,na,12240,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2018,PB - Riley Bark,S (Stoker Boiler),Bituminous,Tier 3 (Equation C-3  solid fuel),380.0,mmBtu/hr,,,,,na,na,12241,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2018,PB - No. 4,PCT (Pulverized coal  tangentially-fired),Bituminous,Tier 3 (Equation C-3  solid fuel),535.0,mmBtu/hr,,,,,na,na,12709,Blue Ridge Paper,G11040,1,535.0,8350,Coal,400,322,28716,>1000,NC,2080
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2017,PB - No. 4,PCT (Pulverized coal  tangentially-fired),Bituminous,Tier 3 (Equation C-3  solid fuel),535.0,mmBtu/hr,,,,,na,na,12710,Blue Ridge Paper,G11040,1,535.0,8350,Coal,400,322,28716,>1000,NC,2080
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2017,PB - Riley Coal,PCWD (Pulverized coal  wall-fired  dry bottom),Bituminous,Tier 3 (Equation C-3  solid fuel),399.0,mmBtu/hr,,,,,na,na,12711,Blue Ridge Paper,G11039,1,399.0,8150,Coal,400,322,28716,>1000,NC,2079
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2017,PB - Peter G,PCWD (Pulverized coal  wall-fired  dry bottom),Bituminous,Tier 3 (Equation C-3  solid fuel),364.0,mmBtu/hr,,,,,na,na,12712,Blue Ridge Paper,G11037,1,364.0,7800,Coal,400,322,28716,>1000,NC,2077
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2017,PB - Peter G,PCWD (Pulverized coal  wall-fired  dry bottom),Bituminous,Tier 3 (Equation C-3  solid fuel),364.0,mmBtu/hr,,,,,na,na,12712,Blue Ridge Paper,G11038,1,364.0,7890,Coal,400,322,28716,>1000,NC,2078
1000230,Blue Ridge Paper Products Inc.,37087.0,Haywood,322110,2011,PB - Riley Bark,S (Stoker Boiler),Used Oil,TIER 4,380.0,mmBtu/hr,,,,,0,0,21372,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products Inc.,37087.0,Haywood,322110,2010,PB - Riley Bark,S (Stoker Boiler),Used Oil,TIER 4,380.0,mmBtu/hr,,,,,0,0,21373,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
