,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS,Zip,Num_Empl,FIPS
1442,MNFordTwinCities1221,Rumble Strip Boiler - 0.75 mmbtu/hr,1,5.0,8400.0,Gas 1,350,336,55116,>1000,27123
1443,MNGPDuluth,EU31 Boiler #1,1,43.0,8400.0,Heavy Liquid,400,321,55802,100-499,27137
1444,MNGPDuluth,EU32 Boiler #2,1,43.0,8400.0,Heavy Liquid,400,321,55802,100-499,27137
1445,MNGPDuluth,EU33 Boiler #3,1,43.0,8400.0,Heavy Liquid,400,321,55802,100-499,27137
1446,MNGPDuluth,EU34 Boiler #4,1,60.0,8400.0,Dry Biomass,400,321,55802,100-499,27137
1447,MNGPDuluth,EU35 Boiler#5,1,17.0,8400.0,Wet Biomass,400,321,55802,100-499,27137
1448,MNHill,Boiler 1,1,6.7,6750.0,Wet Biomass,400,321,55723,50-99,27137
1450,MNHill,Boiler 2,1,6.7,3400.0,Wet Biomass,400,321,55723,50-99,27137
1452,MNMinnesotaSoybeanProcessors,Boiler 1 EU026,1,90.0,8424.0,Light Liquid,350,311,56119,50-99,27063
1454,MNMinnesotaSoybeanProcessors,Boiler 2 EU027,1,90.0,8424.0,Light Liquid,350,311,56119,50-99,27063
1456,ILKoppersInc,Boiler #1,1,85.0,3100.0,Gas 1,350,325,60804,100-499,17031
1457,ILKoppersInc,Boiler #4,1,99.0,8760.0,Gas 1,350,325,60804,100-499,17031
1458,ILLafargeJoppaPlant,Admin Building Heaters (2) and Hot Water Heater,2,5.0,8400.0,Gas 1,350,327,62941,100-499,17153
1460,ILMarathon,59F-3,1,295.0,8760.0,Gas 1,350,324,62454,500-999,17033
1461,ILMarathon,59F-4,1,295.0,8760.0,Gas 1,350,324,62454,500-999,17033
1462,ILMarathon,59F-6,1,185.0,8760.0,Gas 1,350,324,62454,500-999,17033
1463,ILMasterBrandCabinets,139404AAH,1,11.65,515.0,Gas 1,350,337,61911,500-999,17139
1466,ILMasterBrandCabinets,boiler1,2,5.0,8400.0,Gas 1,350,337,61911,500-999,17139
1469,ILMaterialSciencesCorpElkGroveVillage,13115,1,25.0,150.0,Gas 1,350,332,60007,,17043
1471,ILMeyerIndustrialContainer,BO1,1,5.0,8400.0,Gas 1,350,332,60620,0-49,17031
1472,ILMeyerSteelDrum548,B-1,1,12.0,1720.0,Gas 1,350,332,60623,100-499,17031
1473,ILMidwestMetalCoatings,001,1,25.125,500.0,Gas 1,350,332,62040,50-99,17119
1474,ILPrecoatMetals581,001,1,25.0,645.0,Gas 1,350,332,62040,50-99,17119
1475,ILUSSGraniteCity,Boiler 1,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
1476,ILUSSGraniteCity,Boiler 10,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
1477,ILUSSGraniteCity,Boiler 11,1,225.0,8592.0,Process Gas,350,331,62040,>1000,17119
1478,ILUSSGraniteCity,Boiler 12,1,225.0,8592.0,Process Gas,350,331,62040,>1000,17119
1479,ILUSSGraniteCity,Boiler 2,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
1480,ILUSSGraniteCity,Boiler 3,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
