FACILITY_NAME,ZIP,NAICS,SIC,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit,Installed_Year
SCHRAMM INC,19380,,3533,2019,Peerless boiler,Natural gas,,,0.54,MMBtu/hr,
WEABER INC,17042,,2426,2015,Boiler,Wood,,,46,MMBtu/hr,
AMER REF GROUP INC,16701,,2911,2018,Boiler 3,Natural gas/Refinery gas,,,99,MMBtu/hr,
AMER REF GROUP INC,16701,,2911,2018,Boiler 4,Natural gas/Refinery gas,,,99,MMBtu/hr,
AMER REF GROUP INC,16701,,2911,2018,Boiler 6,Natural gas/Refinery gas,,,172.54,MMBtu/hr,
CARGILL COCOA & CHOCOLATE INC,17552,,2066,2019,Boiler 1,Natural gas/No.2 fuel oil,,,5.2,MMBtu/hr,
CARGILL COCOA & CHOCOLATE INC,17552,,2066,2019,Boiler 2,Natural gas/No.2 fuel oil,,,5.2,MMBtu/hr,
ARCONIC LANCASTER CORP,17601,,3355,2016,Cold mill boiler,Natural gas,,,1.75,MMBtu/hr,
HERCULES CEMENT CO LP DBA BUZZI UNICEM USA,18083,,3241,2019,,Propane,,,2.9,MMBtu/hr,
HERCULES CEMENT CO LP DBA BUZZI UNICEM USA,18083,,3241,2019,,Propane,,,2.9,MMBtu/hr,
ADELPHI KITCHENS INC,19551,,2434,2018,Boiler,No.2 fuel oil,,,6.7,MMBtu/hr,
MUELLER STREAMLINE CO,19454,,3351,2018,Evaporator boiler,Natural gas,,,2.5,MMBtu/hr,
GEN DYNAMICS CORP,18403,,3795,2019,Boiler 1,Natural gas,,,2.2,MMBtu/hr,
GEN DYNAMICS CORP,18403,,3795,2019,Boiler 2,Natural gas,,,2.2,MMBtu/hr,
LEPRINO FOODS CO,18848,,2022,2017,Boiler 1,Natural gas/No.2 fuel oil/No.4 fuel oil/No.5 fuel oil/No.6 fuel oil,,,20.9,MMBtu/hr,
LEPRINO FOODS CO,18848,,2022,2017,Boiler 2,Natural gas/No.2 fuel oil/No.4 fuel oil/No.5 fuel oil/No.6 fuel oil,,,20.9,MMBtu/hr,
LEPRINO FOODS CO,18848,,2022,2017,Boiler 3,Natural gas/No.2 fuel oil/No.4 fuel oil/No.5 fuel oil/No.6 fuel oil,,,20.9,MMBtu/hr,
LEPRINO FOODS CO,18848,,2022,2017,Boiler 4,Natural gas/No.2 fuel oil/No.4 fuel oil/No.5 fuel oil/No.6 fuel oil,,,20.9,MMBtu/hr,
ZIPPO MFG CO,16701,,3999,2018,Miscellaneous natural gas boilers,Natural gas,,,24.417,MMBtu/hr,
STD STEEL LLC,17009,,3312,2017,7465 Clayton boiler 150 hp,Natural gas,,,6,MMBtu/hr,
STD STEEL LLC,17009,,3312,2017,7466 Clayton boiler 500 hp,,,,19.9,MMBtu/hr,
STD STEEL LLC,17009,,3312,2017,7467 Clayton boiler 300 hp,,,,12,MMBtu/hr,
INTL PAPER CO,17307,,2653,2019,Superior boiler,Natural gas,,,20.922,MMBtu/hr,
INTL PAPER CO,17307,,2653,2019,Boiler 1,Natural gas,,,12.5,MMBtu/hr,
CERA MET LLC,18017,,3365,2018,Boiler,Natural gas,,,2.01,MMBtu/hr,
GAF MATERIALS CORP,18091,,3272,2020,Boiler 1,Natural gas,,,10,MMBtu/hr,
GAF MATERIALS CORP,18091,,3272,2020,Boiler 2,Natural gas,,,11.7,MMBtu/hr,
VITRO FLAT GLASS LLC,16314,,3211,2019,Boiler 1,Natural gas/No.2 fuel oil,,,25,MMBtu/hr,
VITRO FLAT GLASS LLC,16314,,3211,2019,Boiler 2,Natural gas/No.2 fuel oil,,,25,MMBtu/hr,
VITRO FLAT GLASS LLC,16314,,3211,2019,Boiler 3,Natural gas/No.2 fuel oil,,,25,MMBtu/hr,
VITRO FLAT GLASS LLC,16314,,3211,2019,Boiler 4,Natural gas/No.2 fuel oil,,,25,MMBtu/hr,
GLAXOSMITHKLINE LLC,19428,,2834,2019,Cleaver brook 44,Natural gas,,,32.7,MMBtu/hr,
GLAXOSMITHKLINE LLC,19428,,2834,2019,Cleaver brook 45,Natural gas,,,32.7,MMBtu/hr,
GLAXOSMITHKLINE LLC,19428,,2834,2019,Cleaver brook 800,Natural gas,,,32.7,MMBtu/hr,
HARTMAN SNACK GROUP INC,17202,,2096,2018,water heater/boiler,,,,1,MMBtu/hr,
ALLEGHENY & TSINGSHAN STAINLESS LLC,15014,,3312,2020,Boiler 1,Natural gas,,,29.3,MMBtu/hr,
ALLEGHENY & TSINGSHAN STAINLESS LLC,15014,,3312,2020,Boiler 2,Natural gas,,,33.5,MMBtu/hr,
ARMSTRONG WORLD IND INC,17604,,3996,2019,No.1 boiler,Natural gas/No.2 fuel oil,,,20,MMBtu/hr,
ARMSTRONG WORLD IND INC,17604,,3996,2019,No.2 boiler,Natural gas/No.2 fuel oil,,,20,MMBtu/hr,
ARMSTRONG WORLD IND INC,17604,,3996,2019,No.3 boiler,Natural gas/No.2 fuel oil,,,52.3,MMBtu/hr,
DANZER VENEER AMERICAS INC,16115,,2435,2019,Hust boiler 2,Wood,,,8.75,MMBtu/hr,
